Year,Proportion,SE,Income
1952,0.4185304,0.0278873,Bottom third
1956,0.4210526,0.0259888,Bottom third
1960,0.4213483,0.0391557,Bottom third
1964,0.6854305,0.0267232,Bottom third
1968,0.40625,0.0328191,Bottom third
1972,0.3258786,0.0264958,Bottom third
1976,0.5339233,0.0309417,Bottom third
1980,0.4385965,0.0379511,Bottom third
1984,0.4690265,0.0331996,Bottom third
1988,0.4329268,0.0386952,Bottom third
1992,0.5971203,0.0315191,Bottom third
1996,0.6525831,0.0435636,Bottom third
2000,0.4978342,0.0359643,Bottom third
2004,0.4919265,0.0456169,Bottom third
2008,0.5466065,0.0408958,Bottom third
2012,0.4801648,0.0252476,Bottom third
2016,0.4020864,0.0296058,Bottom third
1952,0.3770795,0.0208385,Top third
1956,0.3659674,0.0232585,Top third
1960,0.4661017,0.0299931,Top third
1964,0.5721154,0.02426,Top third
1968,0.4134615,0.0278818,Top third
1972,0.278777,0.0190177,Top third
1976,0.3861301,0.0224972,Top third
1980,0.3102041,0.0295552,Top third
1984,0.2794457,0.0215661,Top third
1988,0.3298429,0.0240571,Top third
1992,0.4497054,0.0241211,Top third
1996,0.4566046,0.0302744,Top third
2000,0.4481656,0.0313989,Top third
2004,0.377022,0.0357209,Top third
2008,0.3294841,0.0330013,Top third
2012,0.4250682,0.0200799,Top third
2016,0.4670683,0.0209294,Top third
